specObjID,z,type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,w1mpro,w1snr,w2mpro,w2snr,w3mpro,w3snr,w4mpro,w4snr
347993814377457664,1.301381,ps,18.5688,18.56721,18.32317,18.28566,18.316270000000003,18.56907,18.56009,18.32712,18.284660000000002,18.32563,0.1864494,0.14528010000000002,0.1005041,0.07468531,0.05555215,15.83,21.7,14.478,20.8,11.669,7.5,9.41,0.3
347992434484996096,1.301176,ps,18.5688,18.56721,18.32317,18.28566,18.316270000000003,18.56907,18.56009,18.32712,18.284660000000002,18.32563,0.1864494,0.14528010000000002,0.1005041,0.07468531,0.05555215,15.83,21.7,14.478,20.8,11.669,7.5,9.41,0.3
348007552769878016,0.0002327311,ps,18.779420000000002,17.83481,17.49101,17.36068,17.30529,18.78281,17.83354,17.48785,17.35197,17.31147,0.2072453,0.16148410000000002,0.11171400000000001,0.08301545,0.06174824,16.217,17.2,16.602,3.8,12.847999999999999,0.5,9.374,-1.3
348005084371642368,0.00019700110000000001,ps,18.779420000000002,17.83481,17.49101,17.36068,17.30529,18.78281,17.83354,17.48785,17.35197,17.31147,0.2072453,0.16148410000000002,0.11171400000000001,0.08301545,0.06174824,16.217,17.2,16.602,3.8,12.847999999999999,0.5,9.374,-1.3
346943775202895872,0.37452709999999995,ext,22.82156,25.11444,20.33803,19.85993,19.3021,22.168689999999998,25.1357,19.30692,18.88456,18.35797,0.1863989,0.1452408,0.1004769,0.07466511,0.05553712,14.472999999999999,28.8,14.338,21.0,12.821,2.3,9.128,0.4
346946798859872256,0.06351318,ext,21.5841,19.57752,18.5241,18.07167,17.74721,18.9657,17.018729999999998,16.17517,15.76191,15.47976,0.18674229999999997,0.14550829999999998,0.100662,0.07480264,0.05563942,13.8,41.4,13.795,29.9,11.749,6.7,8.761000000000001,1.6
347994358630344704,0.42140730000000004,ext,23.191589999999998,23.19174,20.40598,19.61159,19.10184,22.962329999999998,22.24454,18.934079999999998,18.08224,17.488229999999998,0.18752420000000003,0.14611760000000001,0.1010835,0.07511585,0.05587239,14.035,40.6,13.847999999999999,29.3,13.015,0.1,9.094,0.5
347996563156527104,0.4212857,ext,23.191589999999998,23.19174,20.40598,19.61159,19.10184,22.962329999999998,22.24454,18.934079999999998,18.08224,17.488229999999998,0.18752420000000003,0.14611760000000001,0.1010835,0.07511585,0.05587239,14.035,40.6,13.847999999999999,29.3,13.015,0.1,9.094,0.5
347995458141972480,0.09869108,ext,21.29662,19.46741,18.293029999999998,17.83711,17.415879999999998,20.11226,18.2303,17.19128,16.73886,16.340329999999998,0.1840278,0.1433932,0.09919878,0.07371533,0.05483066,13.912,42.2,13.573,34.2,11.923,5.2,9.323,0.3
347992165110016000,0.09862510000000001,ext,21.29662,19.46741,18.293029999999998,17.83711,17.415879999999998,20.11226,18.2303,17.19128,16.73886,16.340329999999998,0.1840278,0.1433932,0.09919878,0.07371533,0.05483066,13.912,42.2,13.573,34.2,11.923,5.2,9.323,0.3
346943500324988928,0.3735783,ext,23.61615,22.60535,20.36657,19.64895,19.06147,22.19749,20.32444,18.24295,17.57625,17.07186,0.1866579,0.1454426,0.1006165,0.07476883,0.05561427,14.239,39.8,14.022,27.6,12.982999999999999,2.2,8.786,1.8
347994639011178496,0.3730972,ext,23.61615,22.60535,20.36657,19.64895,19.06147,22.19749,20.32444,18.24295,17.57625,17.07186,0.1866579,0.1454426,0.1006165,0.07476883,0.05561427,14.239,39.8,14.022,27.6,12.982999999999999,2.2,8.786,1.8
347994083752437760,0.3736083,ext,23.61615,22.60535,20.36657,19.64895,19.06147,22.19749,20.32444,18.24295,17.57625,17.07186,0.1866579,0.1454426,0.1006165,0.07476883,0.05561427,14.239,39.8,14.022,27.6,12.982999999999999,2.2,8.786,1.8
